Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
OID-100000,2022-09-28,2022-10-01,Same Day,CUST-1429,Home Office,India,Pune,Telangana,East,Furniture,Chairs,Chairs Product 290,1903.97,5,0.4,-206.17
OID-100001,2021-04-14,2021-04-16,Second Class,CUST-6608,Corporate,India,Mumbai,Tamil Nadu,West,Office Supplies,Paper,Paper Product 56,3909.47,8,0.4,-476.92
OID-100002,2022-05-26,2022-05-30,Standard Class,CUST-6404,Consumer,India,Mumbai,Telangana,West,Technology,Copiers,Copiers Product 82,822.17,5,0.2,24.36
OID-100003,2020-12-22,2020-12-24,Standard Class,CUST-4349,Home Office,India,Hyderabad,Karnataka,South,Office Supplies,Art,Art Product 14,1701.86,6,0.2,-322.86
OID-100004,2021-04-13,2021-04-17,Same Day,CUST-1014,Consumer,India,Bangalore,Maharashtra,East,Furniture,Chairs,Chairs Product 297,4851.05,9,0.3,1306.27
OID-100005,2020-10-25,2020-10-26,Same Day,CUST-5636,Corporate,India,Bangalore,Maharashtra,South,Office Supplies,Binders,Binders Product 251,53.85,1,0.3,-5.83
OID-100006,2023-02-04,2023-02-05,Same Day,CUST-5606,Corporate,India,Pune,Telangana,East,Office Supplies,Labels,Labels Product 87,1556.0,7,0.4,24.85
OID-100007,2021-10-23,2021-10-26,Second Class,CUST-7022,Consumer,India,Pune,Gujarat,West,Technology,Copiers,Copiers Product 9,1491.58,10,0.2,-0.1
OID-100008,2021-11-14,2021-11-17,Same Day,CUST-6532,Home Office,India,Hyderabad,Karnataka,South,Office Supplies,Storage,Storage Product 208,281.0,9,0.3,-4.73
OID-100009,2022-05-11,2022-05-14,First Class,CUST-4055,Home Office,India,Delhi,Tamil Nadu,East,Furniture,Tables,Tables Product 278,2307.55,2,0.2,-20.23
OID-100010,2019-08-13,2019-08-19,Same Day,CUST-8196,Consumer,India,Pune,Gujarat,Central,Furniture,Furnishings,Furnishings Product 109,4916.99,8,0.0,-869.2
OID-100011,2020-10-06,2020-10-12,Standard Class,CUST-2660,Corporate,India,Hyderabad,Telangana,East,Office Supplies,Paper,Paper Product 59,3057.35,3,0.4,77.2
OID-100012,2022-02-12,2022-02-18,Same Day,CUST-4360,Consumer,India,Chennai,West Bengal,Central,Furniture,Chairs,Chairs Product 130,115.66,5,0.0,32.71
OID-100013,2019-07-13,2019-07-16,First Class,CUST-9798,Corporate,India,Pune,Telangana,South,Office Supplies,Storage,Storage Product 9,4051.57,10,0.0,-777.97
OID-100014,2020-03-09,2020-03-12,Standard Class,CUST-8336,Consumer,India,Hyderabad,Maharashtra,West,Technology,Phones,Phones Product 30,1192.92,2,0.3,23.95
OID-100015,2022-08-06,2022-08-07,Second Class,CUST-8782,Consumer,India,Chennai,Maharashtra,Central,Furniture,Bookcases,Bookcases Product 52,654.09,10,0.4,141.67
OID-100016,2022-03-04,2022-03-08,Second Class,CUST-2614,Corporate,India,Delhi,Delhi,West,Office Supplies,Art,Art Product 190,908.16,4,0.0,-64.13
OID-100017,2022-07-11,2022-07-12,Same Day,CUST-2968,Corporate,India,Hyderabad,Delhi,Central,Furniture,Chairs,Chairs Product 273,3329.49,6,0.1,41.88
OID-100018,2019-09-29,2019-10-06,Second Class,CUST-6629,Consumer,India,Pune,Karnataka,East,Office Supplies,Art,Art Product 293,1079.31,6,0.3,-116.1
OID-100019,2021-04-24,2021-04-29,Second Class,CUST-1835,Consumer,India,Hyderabad,West Bengal,West,Office Supplies,Paper,Paper Product 71,4849.44,7,0.1,120.64
OID-100020,2021-07-06,2021-07-12,Second Class,CUST-2374,Consumer,India,Hyderabad,Gujarat,West,Technology,Accessories,Accessories Product 236,2005.99,3,0.3,198.49
OID-100021,2022-03-29,2022-04-04,Second Class,CUST-4830,Home Office,India,Delhi,West Bengal,Central,Office Supplies,Labels,Labels Product 105,4613.28,3,0.3,-818.33
OID-100022,2019-12-01,2019-12-05,Standard Class,CUST-5806,Consumer,India,Chennai,Tamil Nadu,East,Technology,Machines,Machines Product 33,1660.39,9,0.4,-106.81
